 !lastseen @Nightblue3
 @nightblue3 okay papi
 @nightblue3 will you play jhin?
 Subscribe to support the channel nb3WOW - https://www.twitch.tv/products/nightblue3/ticket
 sorry i gotta sleep today but you’re the best nightblue3 keep it up
 @nightblue3 play mine
 Subscribe to support the channel nb3WOW - https://www.twitch.tv/products/nightblue3/ticket
 Wassupp @Nightblue3 its been a while !
 @Nightblue3 YOU'RE ONE HOUR LATE!!!!! SMOrc SMOrc SMOrc SMOrc
 nb3Thinking @Nightblue3 YOYOYOYO
 @nightblue3 was just watching black clover and then hey nightblue just went live so hey whats good
 @Nightblue3 no mic?
 @Nightblue3 good evening! I really enjoy these late streams nb3H
 Good day my LOVE!!!!!! How are you doing today???? @nightblue3
 @Nightblue3 Elise back? nb3What
 @Nightblue3 What time is it on your clock?
 @Nightblue3 another name chnage???
 @Nightblue3 aaaaaaaayyyyyyyyyeeeeeee my guy
 how are you love? @nightblue3
 @Nightblue3 Hi buddy <3
 @Nightblue3 why dont you post youtube content anymore??
 @Nightblue3 what are the elise combos dude? I wanna learn her
 @nightblue3 what that wallpaper you have in the back???
 @nightblue3 jg today???
 how are you doing? @nightblue3
